time=2001, port=1, send=1, transmission=successfully

time=2011, port=1, send=1, transmission=successfully

time=2021, port=1, send=1, transmission=successfully

time=2031, port=1, send=1, transmission=successfully

time=2041, port=1, send=1, transmission=successfully

time=2051, port=1, send=1, transmission=successfully

time=2061, port=1, send=1, transmission=successfully

time=2071, port=1, send=1, transmission=successfully

time=2081, port=1, send=1, transmission=successfully

time=2091, port=1, send=1, transmission=successfully

time=2101, port=1, send=1, transmission=successfully

time=2111, port=1, send=1, transmission=successfully

time=2121, port=1, send=1, transmission=successfully

time=2131, port=1, send=1, transmission=successfully

time=2141, port=1, send=1, transmission=successfully

time=2151, port=1, send=1, transmission=successfully

time=2161, port=1, send=1, transmission=successfully

time=2171, port=1, send=0, transmission=successfully

time=2181, port=1, send=1, transmission=successfully

time=2191, port=1, send=0, transmission=successfully

time=2201, port=1, send=0, transmission=successfully

time=2211, port=1, send=1, transmission=successfully

time=2221, port=1, send=0, transmission=successfully

time=2231, port=1, send=0, transmission=successfully

time=2241, port=1, send=1, transmission=successfully

time=2251, port=1, send=0, transmission=successfully

time=2261, port=1, send=1, transmission=successfully

time=2271, port=1, send=1, transmission=successfully

time=2281, port=1, send=0, transmission=successfully

time=2291, port=1, send=1, transmission=successfully

time=2301, port=1, send=0, transmission=successfully

time=2311, port=1, send=1, transmission=successfully

time=2321, port=1, send=0, transmission=successfully

time=2331, port=1, send=0, transmission=successfully

time=2341, port=1, send=0, transmission=successfully

time=2351, port=1, send=0, transmission=successfully

time=2361, port=1, send=1, transmission=successfully

time=2371, port=1, send=0, transmission=successfully

time=2381, port=1, send=0, transmission=successfully

time=2391, port=1, send=0, transmission=successfully

time=2401, port=1, send=0, transmission=successfully

time=2411, port=1, send=0, transmission=successfully

time=2421, port=1, send=0, transmission=successfully

time=2431, port=1, send=0, transmission=successfully

time=2441, port=1, send=0, transmission=successfully

time=2451, port=1, send=0, transmission=successfully

time=2461, port=1, send=1, transmission=successfully

time=2471, port=1, send=0, transmission=successfully

time=2481, port=1, send=0, transmission=successfully

time=2491, port=1, send=0, transmission=successfully

time=2501, port=1, send=0, transmission=successfully

time=2511, port=1, send=0, transmission=successfully

time=2521, port=1, send=1, transmission=successfully

time=2531, port=1, send=0, transmission=successfully

time=2541, port=1, send=1, transmission=successfully

time=2551, port=1, send=0, transmission=successfully

time=2561, port=1, send=0, transmission=successfully

time=2571, port=1, send=0, transmission=successfully

time=2581, port=1, send=0, transmission=successfully

time=2591, port=1, send=1, transmission=successfully

time=2601, port=1, send=1, transmission=successfully

time=2611, port=1, send=0, transmission=successfully

time=2621, port=1, send=1, transmission=successfully

time=2631, port=1, send=1, transmission=successfully

time=2641, port=1, send=0, transmission=successfully

time=2651, port=1, send=0, transmission=successfully

time=2661, port=1, send=0, transmission=successfully

time=2671, port=1, send=1, transmission=successfully

time=2681, port=1, send=1, transmission=successfully

time=2691, port=1, send=0, transmission=successfully

time=2701, port=1, send=0, transmission=successfully

time=2711, port=1, send=1, transmission=successfully

time=2721, port=1, send=0, transmission=successfully

time=2731, port=1, send=0, transmission=successfully

time=2741, port=1, send=0, transmission=successfully

time=2751, port=1, send=1, transmission=successfully

time=2761, port=1, send=1, transmission=successfully

time=2771, port=1, send=0, transmission=successfully

time=2781, port=1, send=1, transmission=successfully

time=2791, port=1, send=0, transmission=successfully

time=2801, port=1, send=0, transmission=successfully

time=2811, port=1, send=0, transmission=successfully

time=2821, port=1, send=0, transmission=successfully

time=2831, port=1, send=0, transmission=successfully

time=2841, port=1, send=1, transmission=successfully

time=2851, port=1, send=0, transmission=successfully

time=2861, port=1, send=1, transmission=successfully

time=2871, port=1, send=0, transmission=successfully

time=2881, port=1, send=0, transmission=successfully

time=2891, port=1, send=0, transmission=successfully

time=2901, port=1, send=0, transmission=successfully

time=2911, port=1, send=0, transmission=successfully

time=2921, port=1, send=0, transmission=successfully

time=2931, port=1, send=1, transmission=successfully

time=2941, port=1, send=1, transmission=successfully

time=2951, port=1, send=0, transmission=successfully

time=2961, port=1, send=0, transmission=successfully

time=2971, port=1, send=1, transmission=successfully

time=2981, port=1, send=1, transmission=successfully

time=2991, port=1, send=1, transmission=successfully

time=3001, port=1, send=1, transmission=successfully

time=3011, port=1, send=0, transmission=successfully

time=3021, port=1, send=1, transmission=successfully

time=3031, port=1, send=0, transmission=successfully

time=3041, port=1, send=0, transmission=successfully

time=3051, port=1, send=0, transmission=successfully

time=3061, port=1, send=1, transmission=successfully

time=3071, port=1, send=1, transmission=successfully

time=3081, port=1, send=0, transmission=successfully

time=3091, port=1, send=0, transmission=successfully

time=3101, port=1, send=1, transmission=successfully

time=3111, port=1, send=0, transmission=successfully

time=3121, port=1, send=1, transmission=successfully

time=3131, port=1, send=1, transmission=successfully

time=3141, port=1, send=0, transmission=successfully

time=3151, port=1, send=1, transmission=successfully

time=3161, port=1, send=0, transmission=successfully

time=3171, port=1, send=1, transmission=successfully

time=3181, port=1, send=1, transmission=successfully

time=3191, port=1, send=0, transmission=successfully

time=3201, port=1, send=0, transmission=successfully

time=3211, port=1, send=0, transmission=successfully

time=3221, port=1, send=1, transmission=successfully

time=3231, port=1, send=1, transmission=successfully

time=3241, port=1, send=0, transmission=successfully

time=3251, port=1, send=0, transmission=successfully

time=3261, port=1, send=1, transmission=successfully

time=3271, port=1, send=0, transmission=successfully
time=3271, port=1, receive=1


time=3271, port=1, receive=0

time=3281, port=1, send=null, cause=data_ended, transmission=successfully

time=3281, port=1, receive=1

time=3291, port=1, receive=0

time=3301, port=1, receive=0

time=3311, port=1, receive=1

time=3321, port=1, receive=0

time=3331, port=1, receive=0

time=3341, port=1, receive=1

time=3351, port=1, receive=0

time=3361, port=1, receive=1

time=3371, port=1, receive=1

time=3381, port=1, receive=0

time=3391, port=1, receive=1

time=3401, port=1, receive=0

time=3411, port=1, receive=1

time=3421, port=1, receive=1

time=3431, port=1, receive=1

time=3441, port=1, receive=1

time=3451, port=1, receive=1

time=3461, port=1, receive=0

time=3471, port=1, receive=0

time=3481, port=1, receive=1

time=3491, port=1, receive=0

time=3501, port=1, receive=1

time=3511, port=1, receive=1

time=3521, port=1, receive=0

time=3531, port=1, receive=1

time=3541, port=1, receive=0

time=3551, port=1, receive=0

time=3561, port=1, receive=1

time=3571, port=1, receive=0

time=3581, port=1, receive=0

time=3591, port=1, receive=0

time=3601, port=1, receive=0

time=3611, port=1, receive=0

time=3621, port=1, receive=1

time=3631, port=1, receive=0

time=3641, port=1, receive=0

time=3651, port=1, receive=0

time=3661, port=1, receive=0

time=3671, port=1, receive=0

time=3681, port=1, receive=0

time=3691, port=1, receive=0

time=3701, port=1, receive=0

time=3711, port=1, receive=0

time=3721, port=1, receive=1

time=3731, port=1, receive=0

time=3741, port=1, receive=0

time=3751, port=1, receive=0

time=3761, port=1, receive=0

time=3771, port=1, receive=0

time=3781, port=1, receive=1

time=3791, port=1, receive=0

time=3801, port=1, receive=1

time=3811, port=1, receive=0

time=3821, port=1, receive=0

time=3831, port=1, receive=0

time=3841, port=1, receive=0

time=3851, port=1, receive=1

time=3861, port=1, receive=1

time=3871, port=1, receive=0

time=3881, port=1, receive=1

time=3891, port=1, receive=1

time=3901, port=1, receive=0

time=3911, port=1, receive=0

time=3921, port=1, receive=0

time=3931, port=1, receive=1

time=3941, port=1, receive=1

time=3951, port=1, receive=0

time=3961, port=1, receive=0

time=3971, port=1, receive=1

